,distance,stellar_magnitude,mass_wrt_earth,radius_wrt_earth,orbital_radius,orbital_period,star_mass,planet_type
0,304.0,4.72307,6169.2,11.88,1.29,0.8925394,988273784952158.6,Gas Giant
1,409.0,5.013,4687.32,11.99,1.53,1.4,401676105079579.94,Gas Giant
2,246.0,5.23133,1526.3999999999999,12.649999999999999,0.83,0.5086927,3042433244043896.0,Gas Giant
3,58.0,6.61935,2588.14158,12.32,2.773069,4.8,34170363105728.15,Gas Giant
4,69.0,6.215,566.04,13.2,1.66,2.2,162662224371069.5,Gas Giant
5,408.0,5.22606,1373.76,12.649999999999999,1.45,1.6,307533267951553.3,Gas Giant
6,249.0,5.51048,3275.4,12.21,2.6,2.7,107995221667486.48,Gas Giant
7,454.0,12.618,2544.0,18.304,330.0,6505.9,18600186.607590027,Gas Giant
8,313.0,5.59,289.38,13.64,0.19,0.08323066,1.1364894054951237e+17,Gas Giant
9,235.0,6.4535,632.82,13.09,1.333,1.2396988,512270924537036.8,Gas Giant
10,235.0,6.4535,273.48,13.64,2.08,2.4,136681452422912.6,Gas Giant
11,419.0,16.186,1272.0,12.76,118.0,3110.6,81366143.67262317,Gas Giant
12,154.0,15.788,4134.0,12.100000000000001,84.0,1767.2,252092928.16604474,Gas Giant
13,110.0,14.244,7791.0,11.0,52.0,593.2,2237328649.042874,Gas Giant
16,210.0,20.15,1590.0,12.649999999999999,55.0,2885.9,94529968.28289625,Gas Giant
17,1293.0,12.651,604.1999999999999,13.2,0.92,1.1115674,637177550304061.1,Gas Giant
18,227.0,12.368,3975.0,12.100000000000001,230.0,4505.7,38779974.97670542,Gas Giant
19,146.0,7.09209,4394.76,12.100000000000001,0.99,0.9174538,935327408428341.8,Gas Giant
20,296.0,4.8262,1233.84,12.76,1.19,1.3117043,457572782869638.3,Gas Giant
21,45.0,5.03352,804.54,12.979999999999999,2.1,3.0,87476129550664.08,Gas Giant
22,45.0,5.03352,171.72,13.97,3.6,6.6,18073580485674.395,Gas Giant
23,45.0,5.03352,521.52,13.2,11.6,38.4,533911923527.0023,Gas Giant
24,240.0,4.5801,2257.7999999999997,12.43,0.87,0.7373032,1448237640747355.2,Gas Giant
25,97.0,5.21149,636.0,13.09,13.2,32.0,768833169878.8834,Gas Giant
