,mass_wrt_earth,radius_wrt_earth,planet_type
0,6169.2,11.88,Gas Giant
1,4687.32,11.99,Gas Giant
2,1526.3999999999999,12.649999999999999,Gas Giant
3,2588.14158,12.32,Gas Giant
4,566.04,13.2,Gas Giant
5,1373.76,12.649999999999999,Gas Giant
6,3275.4,12.21,Gas Giant
7,2544.0,18.304,Gas Giant
8,289.38,13.64,Gas Giant
9,632.82,13.09,Gas Giant
10,273.48,13.64,Gas Giant
11,1272.0,12.76,Gas Giant
12,4134.0,12.100000000000001,Gas Giant
13,7791.0,11.0,Gas Giant
14,4420.2,15.84,Gas Giant
15,2385.0,12.43,Gas Giant
16,1590.0,12.649999999999999,Gas Giant
17,604.1999999999999,13.2,Gas Giant
18,3975.0,12.100000000000001,Gas Giant
19,4394.76,12.100000000000001,Gas Giant
20,1233.84,12.76,Gas Giant
21,804.54,12.979999999999999,Gas Giant
22,171.72,13.97,Gas Giant
23,521.52,13.2,Gas Giant
24,2257.7999999999997,12.43,Gas Giant
25,636.0,13.09,Gas Giant
26,146.28,13.97,Gas Giant
27,264.1308,13.64,Gas Giant
28,54.5052,8.36,Gas Giant
29,1233.204,12.76,Gas Giant
30,7.99,1.875,Super Earth
31,44.837999999999994,7.447000000000001,Gas Giant
32,5.1,2.11,Neptune-like
33,18.2,4.378,Neptune-like
34,22.9,5.016,Neptune-like
35,639.18,13.09,Gas Giant
36,2381.82,12.43,Gas Giant
37,954.0,12.87,Gas Giant
38,588.3000000000001,13.2,Gas Giant
39,276.66,13.64,Gas Giant
40,1685.3999999999999,12.54,Gas Giant
41,416.58000000000004,13.42,Gas Giant
42,1017.6,12.87,Gas Giant
43,2862.0,12.32,Gas Giant
44,4293.0,12.100000000000001,Gas Giant
45,572.4,13.2,Gas Giant
46,2057.46,12.43,Gas Giant
47,20.12,3.993,Neptune-like
48,9.6,3.179,Neptune-like
49,3466.2000000000003,12.21,Gas Giant
50,7965.900000000001,11.770000000000001,Gas Giant
51,2035.2,12.43,Gas Giant
52,8.5,2.794,Neptune-like
53,54.06,8.217,Gas Giant
54,12.7132,3.5420000000000003,Neptune-like
55,104.94000000000001,12.21,Gas Giant
56,187.61999999999998,13.86,Gas Giant
57,206.70000000000002,13.75,Gas Giant
58,15.37,3.96,Neptune-like
59,3110.04,12.21,Gas Giant
60,330.72,13.53,Gas Giant
61,337.39799999999997,13.53,Gas Giant
62,352.98,13.53,Gas Giant
63,1621.8,12.649999999999999,Gas Giant
64,17677.620000000003,11.33,Gas Giant
65,3965.46,12.100000000000001,Gas Giant
66,1335.6000000000001,12.76,Gas Giant
67,22.2481,2.5300000000000002,Neptune-like
68,432.48,13.309999999999999,Gas Giant
69,289.38,13.64,Gas Giant
70,540.6,13.2,Gas Giant
71,508.8,13.309999999999999,Gas Giant
72,228.95999999999998,13.75,Gas Giant
73,4770.0,14.41,Gas Giant
74,1259.28,12.76,Gas Giant
75,2480.4,12.32,Gas Giant
76,3731.13534,18.15,Gas Giant
77,3224.8761600000003,12.21,Gas Giant
78,1939.8,12.54,Gas Giant
79,3.95,1.82,Super Earth
80,3339.0,12.21,Gas Giant
81,2480.4,20.46,Gas Giant
82,3996.9420000000005,12.100000000000001,Gas Giant
83,3688.7999999999997,12.21,Gas Giant
84,2003.3999999999999,12.21,Gas Giant
85,874.5,10.67,Gas Giant
86,740.94,15.729999999999999,Gas Giant
87,291.606,15.84,Gas Giant
88,415.944,9.735,Gas Giant
89,2416.7999999999997,11.99,Gas Giant
90,170.13000000000002,12.87,Gas Giant
91,772.74,11.22,Gas Giant
92,1103.46,14.41,Gas Giant
93,352.98,14.190000000000001,Gas Giant
94,327.54,16.39,Gas Giant
95,1367.3999999999999,9.24,Gas Giant
96,5406.0,11.99,Gas Giant
97,718.68,14.3,Gas Giant
98,12.2,4.785,Neptune-like
99,890.4,11.55,Gas Giant
100,5.7,3.6300000000000003,Neptune-like
101,28.0,4.84,Neptune-like
102,85.86,11.88,Gas Giant
103,165.36,13.86,Gas Giant
104,3304.02,11.076999999999998,Gas Giant
105,153.912,10.504999999999999,Gas Giant
106,270.3,9.9,Gas Giant
107,1103.46,16.126,Gas Giant
108,922.1999999999999,11.098999999999998,Gas Giant
109,267.12,16.06,Gas Giant
110,349.8,18.48,Gas Giant
111,216.24,15.51,Gas Giant
112,6887.88,11.11,Gas Giant
113,228.95999999999998,13.09,Gas Giant
114,148.506,15.267999999999999,Gas Giant
115,941.28,12.825999999999999,Gas Giant
116,4.07661,1.681,Super Earth
117,8.4,2.783,Neptune-like
118,17.142,4.224,Neptune-like
119,69.96,6.27,Gas Giant
120,267.12,11.726,Gas Giant
121,47.699999999999996,6.27,Gas Giant
122,5406.0,24.200000000000003,Gas Giant
123,3825.3174,12.100000000000001,Gas Giant
124,9063.0,11.66,Gas Giant
125,3498.0,29.700000000000003,Gas Giant
126,24.27,5.192,Neptune-like
127,9.6,3.003,Neptune-like
128,3.35,1.65,Super Earth
129,4.13,1.86,Super Earth
130,138.966,14.08,Gas Giant
131,2.58,1.41,Super Earth
132,1997.0400000000002,12.54,Gas Giant
133,413.40000000000003,5.599,Neptune-like
134,1.15,1.047,Super Earth
135,4.16,1.87,Super Earth
136,2.86,1.5,Super Earth
137,0.26,0.692,Terrestrial
138,2.24,1.3,Super Earth
139,1.98,1.22,Super Earth
140,1.08,1.03,Super Earth
141,0.688,0.908,Terrestrial
142,0.972,1.0,Terrestrial
143,1.12,1.04,Super Earth
144,2.27,1.31,Super Earth
145,3.53,1.7,Super Earth
146,2.54,1.4,Super Earth
147,7.27,2.552,Neptune-like
148,1.01,1.01,Super Earth
149,3.53,1.7,Super Earth
150,1.87,1.2,Super Earth
151,0.972,1.0,Terrestrial
152,0.84,0.96,Terrestrial
153,5.03,2.094,Super Earth
154,4.35,1.92,Super Earth
155,27.0,5.654,Neptune-like
156,2.79,1.48,Super Earth
157,5.77,2.233,Neptune-like
158,5.35,2.17,Neptune-like
159,3.19,1.6,Super Earth
160,2.13,1.26,Super Earth
161,5.99,2.2769999999999997,Neptune-like
162,1.87,1.2,Super Earth
163,5.9,2.255,Neptune-like
164,7.2,2.541,Neptune-like
165,7.7,2.6399999999999997,Neptune-like
166,0.937,0.99,Terrestrial
167,3.19,1.6,Super Earth
168,7.72,1.6,Super Earth
169,5.8,2.2,Neptune-like
170,1.37,1.1,Super Earth
171,954.0,11.561,Gas Giant
172,4134.0,12.21,Gas Giant
173,8.75,1.95,Super Earth
174,14.67,3.597,Neptune-like
175,10.18,3.872,Neptune-like
176,2130.6,12.43,Gas Giant
177,209.88000000000002,13.75,Gas Giant
178,1033.5,12.87,Gas Giant
179,2416.7999999999997,12.43,Gas Giant
180,5088.0,11.99,Gas Giant
181,2.5,1.39,Super Earth
182,3.75,1.76,Super Earth
183,4.76,2.025,Super Earth
184,534.24,13.519000000000002,Gas Giant
185,259.806,14.542000000000002,Gas Giant
186,2792.04,12.32,Gas Giant
187,2989.2000000000003,12.32,Gas Giant
188,324.36,13.53,Gas Giant
189,1456.44,12.649999999999999,Gas Giant
190,426.12,13.42,Gas Giant
191,1.08,1.03,Super Earth
192,1.36,1.1,Super Earth
193,1.37,1.1,Super Earth
194,1.74,1.18,Super Earth
195,1.64,1.16,Super Earth
196,1.66,1.13,Super Earth
197,2.64,1.43,Super Earth
198,96.75150000000001,11.770000000000001,Gas Giant
199,68.09652,9.526,Gas Giant
200,10.62,3.19,Neptune-like
201,8.17,2.695,Neptune-like
202,1.32,1.18,Super Earth
203,7.4,2.5740000000000003,Neptune-like
204,22.7,2.563,Neptune-like
205,3.03,1.55,Super Earth
206,36.0,6.545,Neptune-like
207,10.2,3.1129999999999995,Neptune-like
208,10.6,3.19,Neptune-like
209,6.8,2.453,Neptune-like
210,29.4,5.808,Neptune-like
211,260.76,13.64,Gas Giant
212,6.49,2.387,Neptune-like
213,6.4,2.3649999999999998,Neptune-like
214,7.56,2.6069999999999998,Neptune-like
215,4.59248,1.98,Super Earth
216,4070.0438400000003,12.100000000000001,Gas Giant
217,16.2,4.092,Neptune-like
218,8.57613,2.816,Neptune-like
219,14.85045,3.883,Neptune-like
220,4.0,1.83,Super Earth
221,13.0,3.597,Neptune-like
222,2.89,1.51,Super Earth
223,1.18,1.06,Super Earth
224,1071.66,12.87,Gas Giant
225,8.2,2.739,Neptune-like
226,3.34,2.13,Neptune-like
227,1.78,1.18,Super Earth
228,4.18,1.88,Super Earth
229,10.5,3.1679999999999997,Neptune-like
230,795.0,12.979999999999999,Gas Giant
231,522.77928,13.2,Gas Giant
232,11.73969,3.388,Neptune-like
233,731.4,13.09,Gas Giant
234,23.54,5.093,Neptune-like
235,21.09,4.774,Neptune-like
236,7.6,2.618,Neptune-like
237,3.28,1.63,Super Earth
238,2.02,1.23,Super Earth
239,2.31,1.32,Super Earth
240,6.6,2.409,Neptune-like
241,10.6,3.19,Neptune-like
242,13.9,4.4879999999999995,Neptune-like
243,1.86,1.264,Super Earth
244,7.41,2.585,Neptune-like
245,146.28,13.97,Gas Giant
246,63.6,9.152,Gas Giant
247,1.84,1.217,Super Earth
248,3.4,1.66,Super Earth
249,6.1,2.299,Neptune-like
250,8.4,2.783,Neptune-like
251,0.546,0.718,Terrestrial
252,8.0,2.695,Neptune-like
253,1.75,1.09,Super Earth
254,5.71,2.2110000000000003,Neptune-like
255,1.71,1.17,Super Earth
256,7.14,2.519,Neptune-like
257,2.47,1.38,Super Earth
258,6.26,2.332,Neptune-like
259,2.69,1.45,Super Earth
260,7.6,2.585,Neptune-like
261,53.85966,8.239,Gas Giant
262,11.07,3.267,Neptune-like
263,16.57,4.147,Neptune-like
264,6.043,2.288,Neptune-like
265,32.422,6.16,Neptune-like
266,5.223,2.14,Neptune-like
267,22.1,4.092,Neptune-like
268,13.2,3.6300000000000003,Neptune-like
269,2.82,1.305,Super Earth
270,1272.0,12.76,Gas Giant
271,5.2,2.13,Neptune-like
272,5.36,2.17,Neptune-like
273,15.8,4.026,Neptune-like
274,5.5,2.21,Neptune-like
275,1.7,1.17,Super Earth
276,2.82,1.49,Super Earth
277,104.304,12.21,Gas Giant
